name,x,y,z
Drone2,47.64147708643748,-122.14016499997682,0.0
Drone2,47.64147708643748,-122.14016499997682,0.0
Drone2,47.641477086389926,-122.14016499997646,0.0
Drone2,47.6414770860441,-122.14016499997446,0.1
Drone2,47.64147708522745,-122.14016499997315,0.4
Drone2,47.641477084248926,-122.1401649999746,0.8
Drone2,47.64147708289244,-122.14016499997896,1.5
Drone2,47.64147708114408,-122.14016499998598,2.5
Drone2,47.64147707937527,-122.1401649999927,3.5
Drone2,47.64147707729916,-122.14016499999902,4.7
Drone2,47.64147707532968,-122.14016500000359,5.7
Drone2,47.641477073287575,-122.14016500000685,6.5
Drone2,47.64147707117155,-122.14016500000804,7.5
Drone2,47.64147706899991,-122.14016500000697,8.5
Drone2,47.64147706679743,-122.14016500000453,9.6
Drone2,47.64147706457424,-122.14016500000108,10.6
Drone2,47.64147706211185,-122.14016499999649,11.8
Drone2,47.64147705986098,-122.1401649999923,12.9
Drone2,47.64147705760087,-122.14016499998847,14.0
Drone2,47.641477055107494,-122.14016499998493,15.1
Drone2,47.64147705283746,-122.14016499998245,16.2
Drone2,47.641477050567254,-122.14016499998064,17.3
Drone2,47.6414770482996,-122.14016499997949,18.3
Drone2,47.641477045810795,-122.14016499997898,19.5
Drone2,47.6414770435553,-122.1401649999791,20.5
Drone2,47.641477041307795,-122.14016499997967,21.6
Drone2,47.641477039068945,-122.14016499998064,22.6
Drone2,47.64147703683896,-122.14016499998183,23.7
Drone2,47.641477034617616,-122.14016499998323,24.7
Drone2,47.641477032404374,-122.1401649999847,25.8
Drone2,47.641477030198395,-122.14016499998624,26.8
Drone2,47.641477027779054,-122.14016499998789,28.0
Drone2,47.64147702558501,-122.14016499998942,29.0
Drone2,47.64147702339495,-122.14016499999092,30.1
Drone2,47.641477021207784,-122.1401649999924,31.1
Drone2,47.64147701902254,-122.14016499999384,32.2
Drone2,47.64147701683835,-122.14016499999525,33.2
Drone2,47.64147701465452,-122.14016499999659,34.3
Drone2,47.64147701225232,-122.14016499999805,35.4
Drone2,47.64147701006756,-122.14016499999937,36.5
Drone2,47.64147700766308,-122.14016500000079,37.6
Drone2,47.641477005476055,-122.14016500000209,38.7
Drone2,47.64147700328799,-122.14016500000339,39.7
Drone2,47.64147700087986,-122.14016500000479,40.9
Drone2,47.6414769986895,-122.14016500000598,41.9
Drone2,47.641476996278826,-122.14016500000727,43.1
Drone2,47.64147699408613,-122.1401650000084,44.1
Drone2,47.64147699167307,-122.14016500000959,45.3
Drone2,47.64147698969806,-122.14016500001054,46.2
Drone2,47.64147698728328,-122.14016500001158,47.4
Drone2,47.64147698728328,-122.14016500001158,47.4
Drone2,47.6414769850872,-122.14016500001155,48.4
Drone2,47.64147697248396,-122.14016500001007,49.4
Drone2,47.64147687587513,-122.14016500000997,50.0
Drone2,47.64147664452087,-122.14016500001712,50.4
Drone2,47.641476151189075,-122.14016500003336,50.5
Drone2,47.64147555118275,-122.14016500005074,50.4
Drone2,47.64147481466179,-122.14016500007142,50.1
Drone2,47.64147414275144,-122.14016500008972,49.6
Drone2,47.641473511034356,-122.14016500010447,48.9
Drone2,47.64147288877555,-122.14016500011452,48.0
Drone2,47.64147239612414,-122.14016500011763,47.1
Drone2,47.64147200224733,-122.14016500011557,46.2
Drone2,47.64147155947868,-122.14016500010798,45.0
Drone2,47.6414711668312,-122.14016500009727,43.8
Drone2,47.641470760041294,-122.1401650000839,42.7
Drone2,47.64147028308047,-122.14016500006626,41.6
Drone2,47.6414698144626,-122.14016500004705,40.5
Drone2,47.6414692940786,-122.14016500002391,39.4
Drone2,47.6414692940786,-122.14016500002391,39.4
Drone2,47.64146876972513,-122.14016499999903,38.6
Drone2,47.641468280337094,-122.14016474522002,38.1
Drone2,47.64146739703003,-122.14016268840597,37.6
Drone2,47.64146580410417,-122.14015770426221,37.2
Drone2,47.641463854616376,-122.14015094091526,37.1
Drone2,47.64146159807431,-122.14014276194028,37.1
Drone2,47.641459136855055,-122.14013360317044,37.1
Drone2,47.6414562248891,-122.14012250251439,37.2
Drone2,47.641453416287725,-122.14011156818336,37.5
Drone2,47.64145053346824,-122.1401002232754,37.8
Drone2,47.64144789462239,-122.14008976488776,38.0
Drone2,47.64144461807033,-122.14007672333534,38.2
Drone2,47.64144159285109,-122.14006466795031,38.4
Drone2,47.64143822334135,-122.14005125801131,38.4
Drone2,47.64143512419953,-122.14003896161016,38.5
Drone2,47.641431986535714,-122.14002656719421,38.5
Drone2,47.641428495399204,-122.14001285291765,38.5
Drone2,47.64142528937574,-122.14000033642567,38.5
Drone2,47.64142172836138,-122.13998652785591,38.5
Drone2,47.64141846866268,-122.13997396162956,38.5
Drone2,47.64141518590282,-122.1399613796175,38.6
Drone2,47.6414115565013,-122.13994753598672,38.6
Drone2,47.641408242529984,-122.13993494892651,38.6
Drone2,47.64140458337942,-122.13992109868778,38.6
Drone2,47.64140124871259,-122.1399085085854,38.6
Drone2,47.64139757431258,-122.13989466068523,38.6
Drone2,47.64139422907581,-122.1398820675663,38.7
Drone2,47.64139088227657,-122.13986947429663,38.7
Drone2,47.64138753599035,-122.1398568834645,38.7
Drone2,47.64138418936854,-122.13984428717781,38.7
Drone2,47.64138084442649,-122.13983168952204,38.8
Drone2,47.6413775022705,-122.13981909298411,38.8
Drone2,47.641374162394776,-122.13980649322447,38.8
Drone2,47.641370824370654,-122.13979388818791,38.8
Drone2,47.641370824370654,-122.13979388818791,38.8
Drone2,47.64136749051318,-122.13978128853228,38.8
Drone2,47.641364214894196,-122.1397688671404,38.8
Drone2,47.64136157529326,-122.13975866077865,38.7
Drone2,47.6413593918499,-122.139749598871,38.4
Drone2,47.64135826468487,-122.13974423989058,38.1
Drone2,47.64135775675359,-122.13974130252743,37.7
Drone2,47.641357738487244,-122.13974027377235,37.1
Drone2,47.64135817530776,-122.13974070160138,36.4
Drone2,47.64135903357699,-122.13974256914229,35.6
Drone2,47.641360239178944,-122.13974567584893,34.8
Drone2,47.64136167088892,-122.1397496328796,33.9
Drone2,47.64136327439558,-122.13975426250614,33.0
Drone2,47.64136499860358,-122.139759375297,32.1
Drone2,47.641366986333075,-122.13976536379319,31.1
Drone2,47.641368841878446,-122.13977099452487,30.2
Drone2,47.64137071702324,-122.13977668990823,29.2
Drone2,47.641372776520065,-122.13978292145049,28.2
Drone2,47.64137444224119,-122.13978792426961,27.3
Drone2,47.641376436283934,-122.139793846397,26.2
Drone2,47.64137819451892,-122.13979898615365,25.2
Drone2,47.64137988859498,-122.13980384266333,24.2
Drone2,47.64138166815149,-122.1398088167677,23.1
Drone2,47.64138320816909,-122.13981299552991,22.1
Drone2,47.64138467320314,-122.13981683819739,21.1
Drone2,47.641386053638364,-122.13982029405486,20.1
Drone2,47.641386185788356,-122.13982061245302,20.0
Drone2,47.64138739081697,-122.13982333538252,19.0
Drone2,47.64138828472145,-122.13982517060519,18.3
Drone2,47.641388725657876,-122.13982582555666,17.7
Drone2,47.64138873423801,-122.13982535620772,17.4
Drone2,47.64138837040077,-122.13982393150852,17.4
Drone2,47.64138769470269,-122.13982172327728,17.6
Drone2,47.64138677493909,-122.13981891965177,18.0
Drone2,47.64138571291232,-122.13981578100089,18.5
Drone2,47.64138456273581,-122.13981244570795,19.1
Drone2,47.641383338717404,-122.13980895824695,19.6
Drone2,47.64138217651769,-122.1398056994157,20.2
Drone2,47.64138069940389,-122.13980159984148,21.1
Drone2,47.64137931231861,-122.13979776818573,22.0
Drone2,47.64137788020391,-122.13979381005387,23.0
Drone2,47.64137625495448,-122.13978929815073,24.1
Drone2,47.64137488130201,-122.139785458097,25.0
Drone2,47.64137330212856,-122.13978100675278,26.0
Drone2,47.64137149653965,-122.13977586652283,27.0
Drone2,47.64136996578382,-122.13977146736164,27.9
Drone2,47.64136821164895,-122.13976638307192,28.8
Drone2,47.64136622432255,-122.13976057304156,29.8
Drone2,47.641364373383496,-122.13975512103279,30.8
Drone2,47.6413624887526,-122.13974953617168,31.7
Drone2,47.641360386215226,-122.13974327402711,32.7
Drone2,47.64135864969715,-122.13973808257302,33.6
Drone2,47.64135651481492,-122.13973168235006,34.6
Drone2,47.641354762634975,-122.13972641947237,35.4
Drone2,47.64135281357182,-122.13972055817645,36.3
Drone2,47.64135066759118,-122.13971409841209,37.3
Drone2,47.64134871367365,-122.1397082107729,38.3
Drone2,47.64134871367365,-122.1397082107729,38.3
Drone2,47.64134655833508,-122.13970170841901,39.3
Drone2,47.641344786449544,-122.13969585772531,40.0
Drone2,47.64134365381263,-122.1396891901412,40.5
Drone2,47.64134352808169,-122.13968273228953,40.7
Drone2,47.641344513941995,-122.13967578401584,40.8
Drone2,47.641346744771944,-122.13966835161938,40.7
Drone2,47.641350094298495,-122.13966058719835,40.6
Drone2,47.641354384072756,-122.13965262300124,40.4
Drone2,47.641359963195285,-122.1396437339868,40.2
Drone2,47.64136563020403,-122.13963558224356,40.1
Drone2,47.64137171168353,-122.13962737180984,39.9
Drone2,47.641378735260744,-122.13961825752926,39.8
Drone2,47.64138533173645,-122.13960986067926,39.8
Drone2,47.64139204594343,-122.13960133392057,39.7
Drone2,47.64139879540175,-122.13959267044703,39.7
Drone2,47.6414062012044,-122.13958295316587,39.7
Drone2,47.641412874617636,-122.139573925342,39.7
Drone2,47.64142011391433,-122.13956376304397,39.7
Drone2,47.641426580341275,-122.13955430639835,39.7
Drone2,47.64143292471168,-122.13954464323618,39.7
Drone2,47.64143914263826,-122.13953478198458,39.7
Drone2,47.641445839512386,-122.1395237237658,39.7
Drone2,47.641451806837104,-122.1395135005005,39.7
Drone2,47.641458253771766,-122.13950209539576,39.7
Drone2,47.641464024851345,-122.13949160748511,39.7
Drone2,47.64147029472654,-122.13947996809236,39.7
Drone2,47.641475941431466,-122.13946931727052,39.7
Drone2,47.641482113609555,-122.13945754943583,39.7
Drone2,47.64148770430987,-122.13944682296864,39.7
Drone2,47.641493846560785,-122.1394350110642,39.7
Drone2,47.641499433495646,-122.13942427367756,39.7
Drone2,47.64150502677888,-122.1394135454772,39.7
Drone2,47.641510625304086,-122.13940283296112,39.7
Drone2,47.641510625304086,-122.13940283296112,39.7
Drone2,47.641516223787725,-122.13939215105464,39.7
Drone2,47.64152174589404,-122.1393814723454,39.7
Drone2,47.6415273749049,-122.13936936685867,39.8
Drone2,47.641531985367635,-122.13935792905973,39.8
Drone2,47.64153613871778,-122.1393461105707,39.9
Drone2,47.64153989249209,-122.13933397596503,39.9
Drone2,47.641543640524525,-122.139320343607,39.9
Drone2,47.6415467762787,-122.1393077569346,39.9
Drone2,47.64154972273005,-122.13929503705329,39.9
Drone2,47.6415528190273,-122.13928094181452,39.9
Drone2,47.6415555612882,-122.13926807044741,39.9
Drone2,47.64155855439679,-122.1392538837267,39.9
Drone2,47.64156101869248,-122.13924227501448,39.9
Drone2,47.641563796159126,-122.13922939592159,39.9
Drone2,47.64156693860236,-122.13921526046686,39.9
Drone2,47.64156987649603,-122.1392024553845,39.8
Drone2,47.64157291524838,-122.13918969518087,39.8
Drone2,47.641576046196874,-122.13917698898936,39.8
Drone2,47.641579596828244,-122.13916309354276,39.8
Drone2,47.641582927797565,-122.13915058289523,39.8
Drone2,47.641582927797565,-122.13915058289523,39.8
Drone2,47.641586352038,-122.13913846680133,39.9
Drone2,47.64158976489637,-122.13912645710883,39.9
Drone2,47.64159169258518,-122.13911582503181,39.9
Drone2,47.64159208847832,-122.13910484098744,39.9
Drone2,47.64159107957899,-122.13909347289164,40.1
Drone2,47.641589051206196,-122.1390807505731,40.2
Drone2,47.64158664626755,-122.13906907503889,40.3
Drone2,47.641583750269916,-122.13905731148115,40.2
Drone2,47.641580131555216,-122.13904430203554,40.2
Drone2,47.64157656572909,-122.1390324242667,40.1
Drone2,47.64157281358456,-122.13902047615136,40.1
Drone2,47.6415685988711,-122.13900726803048,40.0
Drone2,47.64156475628372,-122.13899517432274,40.0
