name,x,y,z
waypoint1, 47.64110097309533, -122.1378, waypoint1
waypoint2, 47.64133746646827, -122.1385, waypoint2
waypoint3, 47.64151267847391, -122.1388, waypoint3
waypoint4, 47.64157681051902, -122.13914115070773, waypoint4
waypoint5, 47.64151267847391, -122.13938049475848, waypoint5
waypoint6, 47.64133746646827, -122.1397, waypoint6
waypoint7, 47.64109812241752, -122.140, waypoint7
waypoint8, 47.64085877836676, -122.1397, waypoint8
waypoint9, 47.640683566361126, -122.13938049475848, waypoint9
waypoint10, 47.640619434316015, -122.13914115070773, waypoint10
waypoint11, 47.640683566361126, -122.1388, waypoint11
waypoint12, 47.64085877836676, -122.1385, waypoint12
